nombre,aliases,club,posicion,nacionalidad,instagram,notable,fecha_nacimiento
Adams Hamadu,A. Hamadu,FK Jedinstvo Ub,Extremo Izquierdo,Ghana,,,2007-02-18
Adhavan Rajamohan,A. Rajamohan,FC Järfälla,Mediocampista Ofensivo,Sri Lanka,,,1993-02-21
Adrián Sánchez,A. Sánchez|Adrian Sanchez,Belgrano,Mediocampista,Argentina,,,1999-05-14
Afonso Patrão,A. Patrao|Afonso Patrao,KVC Westerlo,Delantero,Portugal,,,2007-02-03
Agustín Lastra,A. Lastra|Agustin Lastra,AA Estudiantes Río Cuarto,Arquero,Argentina,,,2001-01-02
Agustín Osinaga,,,Defender - Centre-Back,Argentina,,no,1998-06-11
Ahmed Ahmedov,A. Ahmedov,Shimizu S-Pulse,Delantero,Bulgaria,,,1995-03-04
Alan Pérez,A. Pérez|Alan Perez,CA Defensores de Belgrano,Defensor Central,Argentina,,,1991-04-20
Alber Castelau,,,Goalkeeper,Spain,,no,2009-01-13
Albin Ahlstrand,A. Ahlstrand,Hässleholms IF,Mediocampista,Suecia,,,2004-03-10
Alejandro Jay,A. Jay,CE Europa,Lateral Derecho,España,,,2002-07-07
Aleksandar Trajkovski,A. Trajkovski,NK Lokomotiva Zagreb,Extremo Izquierdo,Macedonia del Norte,,,1992-09-05
Alexander Isak,A. Isak|Alex Isak,Liverpool,Delantero,Suecia,alex_isak,,1999-09-21
Alexis Castro,A. Castro,Estudiantes,Mediocampista,Argentina,,,1994-10-18
Alexis González,,,Defender - Left-Back,Argentina,,no,2005-01-04
Amar Fatah,A. Fatah,Dundee United,Extremo Izquierdo,Suecia,,,2004-02-19
Amar Milisic,,,Defender - Centre-Back,Belgium,,no,2007-01-30
André Lacximicant,A. Lacximicant,GD Estoril Praia,Extremo Izquierdo,Portugal,,,2001-05-19
Andrés Borge,A. Borge|Andres Borge,SD Tarazona,Lateral Derecho,España,,,2001-10-23
Andrés D'Alessandro,Andres D'Alessandro|D'Alessandro,Retirado,Mediocampista Ofensivo,Argentina,,Leyenda del fútbol argentino y brasileño,1981-04-15
Angel Lyaskov,A. Lyaskov,Lokomotiv Sofia,Lateral Izquierdo,Bulgaria,,,1998-03-16
Anton Smirnoff,,,Defender,Sweden,,no,2008-02-28
Axel Encinas,A. Encinas,Unión La Calera,Mediocampista Ofensivo,Argentina,,,2004-05-24
Borislav Rupanov,B. Rupanov,Górnik Zabrze,Delantero,Bulgaria,,,2004-11-30
Bruno Pinheiro,,,,,,no,
Bryan Bugarín,,,Midfield - Attacking Midfield,Spain,,no,2009-03-17
